Uniprot Accession,Description,Gene name,# Peptides,# Unique Peptides,M1 / Ref_2965_Mito,M2 / Ref_2965_Mito,M3 / Ref_2965_Mito,M4 / Ref_2965_Mito,M5 / Ref_2965_Mito,M6 / Ref_2965_Mito,M7 / Ref_2965_Mito,M8 / Ref_2965_Mito,M9 / Ref_2965_Mito,Subcellular location [CC],Gene ontology (cellular component),Sequence Coverage [%],# PSMs
Q12335,Protoplast secreted protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PST2 PE=1 SV=1,PST2,7,7,0.824,0.937,1.034,1.389,1.436,1.231,1.013,1.137,0.909,Secreted.,extracellular region [GO:0005576],44,19
Q04781,E3 ubiquitin-protein ligase listerin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RKR1 PE=1 SV=1,RKR1,18,18,1.103,1.068,1.105,0.934,0.904,0.884,1.014,1.017,0.873,Nucleus {ECO:0000269|PubMed:17283062}.,"nucleus [GO:0005634];RQC complex [GO:1990112];chromosome, telomeric region [GO:0000781]",13,19
P34222,Peptidyl-tRNA hydrolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PTH2 PE=1 SV=2,PTH2,10,10,0.755,0.677,0.675,0.891,0.785,0.92,0.885,1.054,1.183,Cytoplasm.,cytoplasm [GO:0005737],47,19
P21827,Guanine nucleotide exchange factor SRM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SRM1 PE=1 SV=1,SRM1,14,14,0.731,1.223,0.901,1.433,1.409,0.892,1.143,0.667,0.318,"Nucleus {ECO:0000269|PubMed:11523802, ECO:0000269|PubMed:16365162, ECO:0000269|PubMed:1666302, ECO:0000269|PubMed:1865879, ECO:0000269|PubMed:2022190}.",nucleus [GO:0005634];nuclear chromatin [GO:0000790],27,19
Q01477,Ubiquitin carboxyl-terminal hydrolase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBP3 PE=1 SV=1,UBP3,15,15,1.03,1.157,1.099,0.855,0.779,0.821,1.104,0.902,0.743,,Ubp3-Bre5 deubiquitination complex [GO:1990861];cytoplasm [GO:0005737],20,19
P32915,Protein transport protein SEC61 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC61 PE=1 SV=1,SEC61,9,9,1.383,1.153,1.271,0.838,0.792,0.603,0.944,0.735,0.439,Multi-pass membrane protein.;Endoplasmic reticulum membrane,Sec61 translocon complex [GO:0005784];integral component of membrane [GO:0016021],16,19
P38286,Very-long-chain 3-oxoacyl-CoA reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IFA38 PE=1 SV=1,IFA38,10,10,1.341,1.125,1.261,0.873,0.785,0.636,0.995,0.752,0.467,Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_03107}.;Endoplasmic reticulum membrane {ECO:0000255|HAMAP-Rule:MF_03107},endoplasmic reticulum membrane [GO:0005789];integral component of membrane [GO:0016021];endoplasmic reticulum [GO:0005783],29,19
P53954,"GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALG11 PE=1 SV=1",ALG11,14,14,1.311,1.062,1.221,1.17,1.057,0.803,1.028,0.826,0.491,Single-pass type II membrane protein {ECO:0000269|PubMed:11278778}.;Endoplasmic reticulum membrane {ECO:0000269|PubMed:11278778},integral component of membrane [GO:0016021];endoplasmic reticulum membrane [GO:0005789],18,19
P53044,Ubiquitin fusion degradation protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UFD1 PE=1 SV=1,UFD1,14,14,1.108,1.105,1.107,1.133,1.089,0.934,1.245,1.094,0.866,,Hrd1p ubiquitin ligase ERAD-L complex [GO:0000839];nucleus [GO:0005634];RQC complex [GO:1990112];VCP-NPL4-UFD1 AAA ATPase complex [GO:0034098];Doa10p ubiquitin ligase complex [GO:0000837],38,19
P37012,Phosphoglucomutase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PGM2 PE=1 SV=1,PGM2,16,14,1.502,1.653,1.446,0.575,0.647,0.566,1.067,0.932,0.726,Cytoplasm {ECO:0000269|PubMed:8385141}.,cytosol [GO:0005829];cytoplasm [GO:0005737],31,19
P32458,Cell division control protein 11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC11 PE=1 SV=1,CDC11,10,10,1.493,1.425,1.176,1.379,1.24,0.836,1.625,1.394,0.924,Membrane {ECO:0000269|PubMed:14562095}. Bud neck {ECO:0000269|PubMed:14562095}. Note=Present at the bud neck during cell division. Interacts with phosphatidylinositol 4-phosphate and phosphatidylinositol 5-phosphate (PI(4)P and PI(5)P).,cellular bud neck septin ring [GO:0000144];cytoplasmic microtubule [GO:0005881];mating projection base [GO:0001400];meiotic spindle [GO:0072687];prospore membrane [GO:0005628];septin complex [GO:0031105];septin filament array [GO:0032160];spindle microtubule [GO:0005876];ascospore wall [GO:0005619],30,19
P36004,Probable serine/threonine-protein kinase KKQ8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KKQ8 PE=1 SV=2,KKQ8,14,14,1.442,0.941,1.627,0.894,0.827,0.677,0.831,0.895,0.662,Cytoplasm {ECO:0000269|PubMed:14562095}.,nucleus [GO:0005634];cytoplasm [GO:0005737],23,19
P0C0T4,40S ribosomal protein S25-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS25B PE=1 SV=1,RPS25B,7,7,1.078,1.181,1.165,0.579,0.543,0.55,0.774,0.671,0.642,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.",cytosolic small ribosomal subunit [GO:0022627],46,19
P53305,Mitochondrial 37S ribosomal protein S27 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSM27 PE=1 SV=1,RSM27,8,8,0.51,0.476,0.404,0.96,0.79,0.978,0.836,1.031,1.185,"Mitochondrion {ECO:0000269|PubMed:11278769, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.",mitochondrial small ribosomal subunit [GO:0005763],61,19
P36108,DOA4-independent degradation protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DID4 PE=1 SV=2,DID4,11,11,1.117,1.012,1.048,1.161,1.069,1.008,1.049,1.002,0.805,Peripheral membrane protein {ECO:0000269|PubMed:12194857}.;Cytoplasm {ECO:0000269|PubMed:12194857}. Endosome membrane {ECO:0000269|PubMed:12194857},ESCRT III complex [GO:0000815];cytoplasm [GO:0005737],45,19
Q03151,Mitochondrial GTPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MTG1 PE=1 SV=1,MTG1,13,13,0.836,0.743,0.666,0.889,0.817,1.054,1,1.233,1.498,"Peripheral membrane protein {ECO:0000269|PubMed:12808030, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16823961}.;Mitochondrion inner membrane {ECO:0000269|PubMed:12808030, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16823961}",mitochondrial inner membrane [GO:0005743],36,19
P12611,Growth regulation protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=WHI2 PE=1 SV=2,WHI2,11,10,1.535,1.341,1.788,0.717,0.75,0.846,0.852,0.926,0.898,,phosphatase complex [GO:1903293],21,19
P43535,Protein GCN20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GCN20 PE=1 SV=1,GCN20,14,14,1.092,1.294,1.182,0.922,0.925,0.841,0.956,0.832,0.644,,cytosolic ribosome [GO:0022626];cytosol [GO:0005829],20,19
P46985,"Probable alpha-1,6-mannosyltransferase MNN11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MNN11 PE=1 SV=2",MNN11,12,12,1.297,1.19,1.29,1.1,1.051,0.966,1.089,0.934,0.722,"Single-pass type II membrane protein {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:9430634}.;Golgi apparatus, cis-Golgi network membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:9430634}","alpha-1,6-mannosyltransferase complex [GO:0000136]",31,19
Q06698,Putative ATP-dependent RNA helicase YLR419W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR419W PE=1 SV=1,,17,17,0.791,1.098,0.767,1.288,1.117,0.836,1.127,1.065,0.725,Cytoplasm {ECO:0000269|PubMed:14562095}.,cytoplasm [GO:0005737],14,19
P80428,Actin-related protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARP4 PE=1 SV=1,ARP4,16,16,0.872,1.454,1.158,1.404,1.418,0.974,1.324,0.719,0.318,Nucleus {ECO:0000269|PubMed:8573785}.,NuA4 histone acetyltransferase complex [GO:0035267];nuclear chromatin [GO:0000790];nucleus [GO:0005634];Swr1 complex [GO:0000812];Ino80 complex [GO:0031011],32,19
Q04228,UBX domain-containing protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBX2 PE=1 SV=1,UBX2,13,13,1.028,0.906,0.928,1.266,1.208,1.212,1.081,1.094,0.95,Multi-pass membrane protein {ECO:0000305}.;Endoplasmic reticulum membrane {ECO:0000305},Hrd1p ubiquitin ligase ERAD-L complex [GO:0000839];integral component of endoplasmic reticulum membrane [GO:0030176];integral component of plasma membrane [GO:0005887];lipid droplet [GO:0005811];Doa10p ubiquitin ligase complex [GO:0000837],24,19
P33421,"Succinate dehydrogenase [ubiquinone] cytochrome b subunit, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SDH3 PE=1 SV=1",SDH3,6,6,0.249,0.211,0.211,1.526,1.473,1.837,0.941,1.308,1.818,Multi-pass membrane protein.;Mitochondrion inner membrane,"mitochondrial inner membrane protein insertion complex [GO:0042721];mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone) [GO:0005749];integral component of membrane [GO:0016021]",26,19
P38715,NADPH-dependent aldose reductase GRE3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRE3 PE=1 SV=1,GRE3,14,14,1.08,1.033,1.005,0.929,0.896,0.951,1.08,1.099,1.082,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,nucleus [GO:0005634];cytoplasm [GO:0005737],37,19
Q08745,40S ribosomal protein S10-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS10A PE=1 SV=1,RPS10A,7,1,1.101,1.18,1.274,0.416,0.423,0.454,0.778,0.479,0.435,Cytoplasm {ECO:0000269|PubMed:22096102}.,cytosolic small ribosomal subunit [GO:0022627],48,19
P14908,Mitochondrial transcription factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MTF1 PE=1 SV=4,MTF1,12,12,0.865,0.759,0.687,0.982,0.993,1.187,1.061,1.33,1.51,"Mitochondrion intermembrane space {ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:22984289}.",mitochondrial intermembrane space [GO:0005758];mitochondrial matrix [GO:0005759];mitochondrial DNA-directed RNA polymerase complex [GO:0034245],35,19
Q12675,Phospholipid-transporting ATPase DNF2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DNF2 PE=1 SV=1,DNF2,17,12,2.073,1.212,1.693,0.7,0.71,0.679,0.726,0.665,0.563,"Multi-pass membrane protein {ECO:0000269|PubMed:12221123, ECO:0000269|PubMed:18199685}.;Cell membrane {ECO:0000269|PubMed:12221123, ECO:0000269|PubMed:18199685}",integral component of membrane [GO:0016021];mating projection tip membrane [GO:0070867];plasma membrane [GO:0005886];trans-Golgi network [GO:0005802];Golgi membrane [GO:0000139],12,19
P54730,UBX domain-containing protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBX4 PE=1 SV=1,UBX4,14,14,1.158,1.135,1.392,0.682,0.71,0.67,0.843,0.784,0.714,Nucleus {ECO:0000269|PubMed:14562095}. Cytoplasm {ECO:0000269|PubMed:14562095}.,extrinsic component of membrane [GO:0019898];nucleus [GO:0005634];cytoplasm [GO:0005737],36,19
P48415,COPII coat assembly protein SEC16 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC16 PE=1 SV=2,SEC16,18,18,1.337,1.205,1.344,0.83,0.739,0.625,0.991,0.717,0.473,"Cytoplasmic side {ECO:0000269|PubMed:12235121, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:7593161}. Note=On the endoplasmic reticulum and on vesicles which bud from it.;Peripheral membrane protein {ECO:0000269|PubMed:12235121, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:7593161};Endoplasmic reticulum membrane {ECO:0000269|PubMed:12235121, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:7593161}",endoplasmic reticulum membrane [GO:0005789];ER to Golgi transport vesicle membrane [GO:0012507];Golgi membrane [GO:0000139];endoplasmic reticulum exit site [GO:0070971],10,19
P35719,Uncharacterized protein MRP8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRP8 PE=1 SV=1,MRP8,13,13,1.501,1.433,1.543,1.335,1.357,1.338,1.578,1.627,1.228,Cytoplasm {ECO:0000269|PubMed:14562095}.,cytoplasm [GO:0005737],64,19
Q12363,Transcriptional modulator WTM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=WTM1 PE=1 SV=1,WTM1,12,12,0.856,1.195,1.082,1.459,1.61,1.123,1.318,1.019,0.64,Cytoplasm {ECO:0000269|PubMed:16432237}. Nucleus {ECO:0000269|PubMed:16432237}. Note=Shuttles between the nucleus and the cytoplasm.,nucleus [GO:0005634];cytoplasm [GO:0005737],34,19
P25567,RNA-binding protein SRO9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SRO9 PE=1 SV=2,SRO9,12,12,1.179,1.503,1.534,0.444,0.474,0.448,0.882,0.684,0.551,"Cytoplasm {ECO:0000269|PubMed:10564276, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:9383048}. Note=Associates with translating ribosome.",polysome [GO:0005844];cytoplasmic stress granule [GO:0010494],32,19
P40533,Protein TED1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TED1 PE=1 SV=1,TED1,13,13,1.303,1.075,1.228,1.154,1.003,0.805,1.056,0.792,0.485,Multi-pass membrane protein {ECO:0000305}.;Endoplasmic reticulum membrane {ECO:0000305},integral component of membrane [GO:0016021];endoplasmic reticulum membrane [GO:0005789],26,19
P52917,Vacuolar protein sorting-associated protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS4 PE=1 SV=1,VPS4,15,15,1.063,1.342,1.102,1.201,1.525,0.982,1.169,0.848,0.519,Peripheral membrane protein {ECO:0000250}.;Endosome membrane {ECO:0000250},ESCRT IV complex [GO:1990621];membrane [GO:0016020];nucleus [GO:0005634];endosome [GO:0005768],37,19
P22213,Protein SLY1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SLY1 PE=1 SV=1,SLY1,16,16,1.258,1.338,1.328,1.087,1.087,0.859,1.255,0.924,0.624,Peripheral membrane protein.;Cytoplasm. Membrane,cytoplasm [GO:0005737];endoplasmic reticulum [GO:0005783];Golgi membrane [GO:0000139];membrane [GO:0016020];COPII-coated ER to Golgi transport vesicle [GO:0030134],31,19
P38873,Target of rapamycin complex 1 subunit KOG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KOG1 PE=1 SV=2,KOG1,16,16,1.459,1.139,1.488,0.835,0.891,0.845,0.732,0.759,0.719,"Cytoplasmic side. Note=Also localizes to membranous structures within the cell interior, probably endosomal or Golgi membranes.;Cytoplasmic side. Vacuole membrane;Peripheral membrane protein;Cell membrane",fungal-type vacuole membrane [GO:0000329];plasma membrane [GO:0005886];TORC1 complex [GO:0031931];cytoplasmic stress granule [GO:0010494],12,19
P41800,Maintenance of mitochondrial morphology protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MMM1 PE=1 SV=2,MMM1,11,11,1.095,0.885,0.991,0.959,0.978,1.224,1.253,1.302,1.537,"Single-pass type I membrane protein {ECO:0000255|HAMAP-Rule:MF_03103, ECO:0000269|PubMed:11266455, ECO:0000269|PubMed:12972421, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:14981098, ECO:0000269|PubMed:16407407, ECO:0000269|PubMed:19556461, ECO:0000269|PubMed:8089172}. Note=The ERMES/MDM complex localizes to a few discrete foci (around 10 per single cell), that represent mitochondria-endoplasmic reticulum junctions. These foci are often found next to mtDNA nucleoids. {ECO:0000255|HAMAP-Rule:MF_03103}.;Endoplasmic reticulum membrane {ECO:0000255|HAMAP-Rule:MF_03103, ECO:0000269|PubMed:11266455, ECO:0000269|PubMed:12972421, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:14981098, ECO:0000269|PubMed:16407407, ECO:0000269|PubMed:19556461, ECO:0000269|PubMed:8089172}",integral component of endoplasmic reticulum membrane [GO:0030176];mitochondrial outer membrane [GO:0005741];ERMES complex [GO:0032865],29,19
P41832,Protein BNI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BNI1 PE=1 SV=3,BNI1,14,14,1.295,1.335,1.231,1.128,1.003,0.854,1.261,1.029,0.77,"Cell membrane. Cell projection, ruffle membrane. Cytoplasm, cytoskeleton.",cell division site [GO:0032153];cellular bud neck [GO:0005935];cellular bud tip [GO:0005934];incipient cellular bud site [GO:0000131];mating projection tip [GO:0043332];polarisome [GO:0000133];ruffle membrane [GO:0032587];actin filament [GO:0005884],8,19
P32794,ATPase family gene 2 protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AFG2 PE=1 SV=1,AFG2,15,14,1.15,1.097,1.276,0.753,0.806,0.788,0.859,0.842,0.821,,"preribosome, large subunit precursor [GO:0030687];intracellular [GO:0005622]",24,19
P38885,"Altered inheritance of mitochondria protein 46, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AIM46 PE=1 SV=1",AIM46,16,16,0.652,0.575,0.528,1.133,1.04,1.261,0.914,1.129,1.335,Mitochondrion {ECO:0000269|PubMed:14562095}.,mitochondrion [GO:0005739],55,19
P38903,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RTS1 PE=1 SV=2,RTS1,14,14,1.177,1.085,1.502,0.666,0.704,0.684,0.723,0.725,0.71,Cytoplasm {ECO:0000269|PubMed:7565713}. Nucleus {ECO:0000269|PubMed:7565713}.,"condensed nuclear chromosome, centromeric region [GO:0000780];cytoplasm [GO:0005737];kinetochore [GO:0000776];nucleus [GO:0005634];protein phosphatase type 2A complex [GO:0000159];spindle pole body [GO:0005816];cellular bud neck [GO:0005935]",20,19
P40345,Phospholipid:diacylglycerol acyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LRO1 PE=1 SV=1,LRO1,13,13,1.323,1.331,1.265,1.027,0.976,0.704,1.131,0.753,0.421,Single-pass membrane protein {ECO:0000269|PubMed:22446555}.;Endoplasmic reticulum membrane {ECO:0000269|PubMed:22446555},integral component of membrane [GO:0016021];lipid droplet [GO:0005811];perinuclear endoplasmic reticulum [GO:0097038];endoplasmic reticulum membrane [GO:0005789],22,19
P43617,Uncharacterized mitochondrial carrier YFR045W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YFR045W PE=3 SV=3,,7,7,0.681,0.622,0.582,1.082,1.005,1.242,1.031,1.317,1.536,Multi-pass membrane protein {ECO:0000305}.;Mitochondrion inner membrane {ECO:0000305},mitochondrial inner membrane [GO:0005743];integral component of membrane [GO:0016021],26,19
P16467,Pyruvate decarboxylase isozyme 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDC5 PE=1 SV=4,PDC5,5,2,1.309,1.093,1.299,0.456,0.59,0.983,1.204,0.785,0.708,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,nucleus [GO:0005634];cytoplasm [GO:0005737],13,19
P53219,Abhydrolase domain-containing protein IMO32 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IMO32 PE=1 SV=1,IMO32,10,10,0.618,0.547,0.493,1.323,1.283,1.632,1.054,1.353,1.594,"Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16823961}.",mitochondrion [GO:0005739],30,19
P32465,Low-affinity glucose transporter HXT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT1 PE=1 SV=1,HXT1,7,4,2.845,1.734,2.871,0.051,0.076,0.124,0.196,0.168,0.122,Multi-pass membrane protein.;Membrane,plasma membrane [GO:0005886];integral component of membrane [GO:0016021],12,19
P37838,Nucleolar protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOP4 PE=1 SV=1,NOP4,17,17,1.069,2.012,1.132,0.781,0.831,0.594,0.998,0.649,0.46,"Nucleus, nucleolus.",nucleolus [GO:0005730],31,19
P08466,Mitochondrial nuclease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUC1 PE=1 SV=1,NUC1,12,12,0.717,0.606,0.562,0.984,0.991,1.114,0.841,1.043,1.26,Mitochondrion inner membrane.,nucleus [GO:0005634];mitochondrial inner membrane [GO:0005743],39,19
P40033,"37S ribosomal protein RSM18, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSM18 PE=1 SV=2",RSM18,8,8,0.566,0.463,0.433,0.989,0.856,1.087,0.777,1.001,1.184,"Mitochondrion {ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.",mitochondrial small ribosomal subunit [GO:0005763];cytosolic small ribosomal subunit [GO:0022627],38,19
P36130,CCR4-associated factor 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAF4 PE=1 SV=3,CAF4,9,9,1.163,1.034,0.994,1.067,1.047,1.135,1.288,1.359,1.523,"Cytoplasmic side {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:16009724, ECO:0000269|PubMed:17998537}. Note=Uniformly distributed on the cytoplasmic face of the mitochondrial outer membrane. This localization is dependent on FIS1. Reorganizes to punctate structures on mitochondria, corresponding to mitochondrial constriction sites, at a late step in mitochondrial division.;Peripheral membrane protein {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:16009724, ECO:0000269|PubMed:17998537};Mitochondrion outer membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:16009724, ECO:0000269|PubMed:17998537}",mitochondrial outer membrane [GO:0005741];mitochondrion [GO:0005739];CCR4-NOT complex [GO:0030014],15,19
